All installed programs list generated by choco-package-list-backup on 2022-06-08.


DisplayName                                                        DisplayVersi
WinRT Intellisense UAP - Other Languages                           10.1.1904...
vs_minshellinteropmsi                                              16.10.31306 
Windows SDK for Windows Store Apps Headers                         10.1.1904...
Update for Microsoft .NET Framework 4.7.2 (KB4495588)              1           
Update for Microsoft .NET Framework 4.8 (KB4503575)                1           
Windows SDK ARM Desktop Tools                                      10.1.1904...
Windows SDK Desktop Libs arm64                                     10.1.1904...
Windows SDK for Windows Store Apps Legacy Tools                    10.1.1904...
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610       11.0.60610.1
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17       9.0.30729   
Chocolatey GUI                                                     0.17.3.0    
Windows Desktop Extension SDK Contracts                            10.1.1904...
Windows SDK EULA                                                   10.1.1904...
Universal CRT Redistributable                                      10.1.1904...
Windows SDK for Windows Store Apps                                 10.1.1904...
Universal General MIDI DLS Extension SDK                           10.1.1904...
TP-LINK PLC Utility                                                2.1.2309    
WinRT Intellisense Desktop - Other Languages                       10.1.1904...
Windows SDK Signing Tools                                          10.1.1904...
WinRT Intellisense Desktop - en-us                                 10.1.1904...
Universal CRT Tools x86                                            10.1.1904...
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704     14.30.30704 
Realtek PCIE Card Reader                                           6.1.8400....
Launcher Prerequisites (x64)                                       1.0.0.0     
Windows SDK Desktop Headers x64                                    10.1.1904...
Windows SDK Desktop Headers arm64                                  10.1.1904...
Fujitsu Hotkey Utility                                             3.70.0.0    
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030       11.0.61030.0
Windows Team Extension SDK                                         10.1.1904...
Microsoft .NET Framework 4 Multi-Targeting Pack                    4.0.30319   
Update for  (KB2504637)                                            1           
Windows Desktop Extension SDK                                      10.1.1904...
CCEnhancer version 4.5.7                                           4.5.7       
Python Launcher                                                    3.7.6386.0  
vcpp_crt.redist.clickonce                                          14.29.30135 
FJ Camera                                                          6.2.9200....
Windows SDK AddOn                                                  10.1.0.0    
Kits Configuration Installer                                       10.1.1904...
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.60610         11.0.60610  
Brother MFL-Pro Suite MFC-9340CDW                                  1.0.1.0     
                                                                               
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219        10.0.40219  
                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Intel(R) Processor Graphics                                        10.18.10....
Realtek High Definition Audio Driver                               6.0.1.6761  
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704        14.30.30704 
MSXML 4.0 SP2 (KB973688)                                           4.20.9876.0 
Windows SDK Desktop Tools x64                                      10.1.1904...
Logiciel pour p?riph?rique ? chipset Intel?                        10.1.1.13   
Windows SDK Modern Versioned Developer Tools                       10.1.1904...
Intel(R) OpenCL CPU Runtime                                                    
SDK ARM Additions                                                  10.1.1904...
WinRT Intellisense PPI - Other Languages                           10.1.1904...
QuickTime 7                                                        7.79.80.95  
Windows SDK for Windows Store Managed Apps Libs                    10.1.1904...


